gene,pmid,title,journal,year,query
SON,28122885,Heart Disease and Stroke Statistics-2017 Update: A Report From the American Heart Association,Circulation,2017,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SON,33501848,Heart Disease and Stroke Statistics-2021 Update: A Report From the American Heart Association,Circulation,2021,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SON,36695182,Heart Disease and Stroke Statistics-2023 Update: A Report From the American Heart Association,Circulation,2023,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SON,38264914,2024 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association,Circulation,2024,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SON,23974980,"Recent advances in 2D and 3D in vitro systems using primary hepatocytes, alternative hepatocyte sources and non-parenchymal liver cells and their use in investigating mechanisms of hepatotoxicity, cell signaling and ADME",Archives of toxicology,2013,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SON,39866113,2025 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association,Circulation,2025,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SON,20435227,Clinical assessment incorporating a personal genome,"Lancet (London, England)",2010,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SON,25242225,Thiazolidinediones and the promise of insulin sensitization in type 2 diabetes,Cell metabolism,2014,"(SON AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
MMP9,33328614,Cellular senescence in ageing: from mechanisms to therapeutic opportunities,Nature reviews. Molecular cell biology,2021,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
MMP9,24267647,The pathobiology of vascular dementia,Neuron,2013,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
